N,d,sigma,weight_decay,e_in_mean,e_out_mean,e_bias
5,13,0.01,0.0,0.03088434922982041,0.6957953054533088,0.24206712267038696
5,13,0.01,0.1,0.07346104844314198,0.6845053798660208,0.23446296287072427
5,13,0.1,0.0,0.032739182904176316,1.9952073346497845,0.29306859001644714
5,13,0.1,0.1,0.07881294923761227,0.6948710415699824,0.25243727631364354
5,13,1,0.0,0.48137633630765597,4.680685350518853,1.5238909246501342
5,13,1,0.1,0.5655409090983139,2.083766536701522,1.265786368739498
5,14,0.01,0.0,0.03428974934450755,0.9484058035902972,0.1929083091185098
5,14,0.01,0.1,0.04840301036218362,0.7469321013245672,0.2839627529223645
5,14,0.1,0.0,0.02007461433165527,1.168813127234346,0.25352589774655154
5,14,0.1,0.1,0.06816544776042231,0.509433176561317,0.2477031495766559
5,14,1,0.0,0.3997636090396482,7.689910460845686,1.381380005509452
5,14,1,0.1,0.5464829909670884,3.253265725434683,1.238411957986135
5,15,0.01,0.0,0.045245820226892566,1.240941734249529,0.1659019426294319
5,15,0.01,0.1,0.06963697316930686,0.5966747486957756,0.25101120400759047
5,15,0.1,0.0,0.035883687591494184,0.7412602905293733,0.21927080269001237
5,15,0.1,0.1,0.09477901577469341,0.7826234414333892,0.2318064234315612
5,15,1,0.0,0.42597799938866154,3.78154659601883,1.470888980128312
5,15,1,0.1,0.4344869331663205,2.6080627658804723,1.2347228566686959
5,16,0.01,0.0,0.035016119532621105,1.2797506101357488,0.18542081641853447
5,16,0.01,0.1,0.08643802308078133,0.7164240739765362,0.2139914830883998
5,16,0.1,0.0,0.04545070450453911,1.3175610422230513,0.1905956897617251
5,16,0.1,0.1,0.07452896977546652,0.6226390047689572,0.2577141769902178
5,16,1,0.0,0.39930369056320353,3.280729426215185,1.1796341098560001
5,16,1,0.1,0.5039652305711836,3.5332667557840467,1.2359303906462122
5,17,0.01,0.0,0.026009408740548995,0.8644198916942523,0.2431292526564731
5,17,0.01,0.1,0.06529662751464313,0.9128720953700288,0.26307715378082974
5,17,0.1,0.0,0.027845513644169862,0.8874932440442335,0.3547590178452773
5,17,0.1,0.1,0.06406774569935277,1.388273119495936,0.4502262391255431
5,17,1,0.0,0.371825372819243,3.764638861382442,1.2802745312779225
5,17,1,0.1,0.4641005500883345,2.855719178240971,1.3665183474845595
5,18,0.01,0.0,0.025041116740875315,1.3995443886812686,0.2492179863122638
5,18,0.01,0.1,0.08469850062087056,0.6460546682986209,0.20463549834950168
5,18,0.1,0.0,0.029786890354171168,1.561402669474822,0.2650029201966562
5,18,0.1,0.1,0.09563274859017097,0.7133841007179057,0.28716705160250855
